track_name,lyrics,playlist_genre,playlist_subgenre,track_artist,duration_ms,language,track_album_release_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,valence
My Body,"stop! the train is riding down to the station where you lived when we were school kids hey! the rails are caught now and i am falling down fools in a spiral round this town of steel my body tells me no but i won't quit 'cause i want more 'cause i want more my body tells me no but i won't quit 'cause i want more 'cause i want more stop! the train is riding down to the station where i lived when i was a cool kid hey! is it my fault that the fallen embers burn down in a spiral round your crown of thieves? my body tells me no but i won't quit 'cause i want more 'cause i want more my body tells me no but i won't quit 'cause i want more 'cause i want more it rides out of town na oh, it's my road it's my road, it's my road it's my road it's my road, it's my war it's my war it's my war, it's my war his eyes are open his eyes are open oh, 'cause i want more i want more, want more his eyes are open his eyes are open hey, hey, hey my body tells me no but i won't quit 'cause i want more 'cause i want more my body tells me no but i won't quit 'cause i want more 'cause i want more it rides out of town",pop,indie poptimism,Young the Giant,244400,en,2011,0.488,0.0011,0.909,0.456,-6.591,0.0929,129.774,1,10,0.643
Save It For A Rainy Day,"well, she's kind of pretty drives a big car too and when i hold her in my arms i never know what to do if she's got everything she needs what does she need me for? i'm just a crazy fool comin' back for more and i know she's no good can't leave her but i know i should everybody says watch out boy she'll break your heart like it was a toy you better save it for a rainy day you better save it for a rainy day well i'd leave in a minute if i only could but when she touches me it makes me feel so good my heart's in her hands this is a sure a mess there's no way i say no when she says, ""yes yes yes"" take me, shake me and tell me this ain't a dream everybody says watch out boy she'll break your heart like it was a toy you better save it for a rainy day you better save it for a rainy day",rock,classic rock,Stephen Bishop,192973,en,1/1/1976,0.625,0.572,0.536,0.119,-8.962,0.0354,129.178,1,8,0.729
Do You Think About Me,"na d-d-do you, do-do, do you think about me? ""do you, do you, do you think about me? do you think, do you think, do-do-do you think about me? do you, do you, do you, do you think about me? you think about money when you think about me, huh? it's why my ex my ex, you don't wanna be her she used to have the beemer, now she own a sneaker i had her eating lobster, now she eating pizza i think about easter when i think about keyshia shorty stay fly, that's why i keep her round like the reefer, brown mona lisa she good if i leave her, she got her own visa think about them when you think about fronting think about stunting when you think about me i'm the boss, bentley or the porsche? overseas see jet ski's slide across i love the way you dress, now take it off put your legs high on my shoulders of course i'm racing through your mind, but you already lost i'm at the finish line and you're a friend of mine come on, let's ride (do you think about me?) just a little bit, every now and then (do you think about me?) goddamn girl, we used to be friends (do you think about me?) just a little bit, just a little bit (do you think about me?) just a little bit, just a little bit (do you think about me?) i think like a hustler, i'm thinking 'bout a shipment she thinking i'm her hustler, she thinking 'bout commitment it's like paul mccartney's stuck in my head he fell in love with a bitch who walked away on one leg she ain't even have to run to get away with the bread that's some fucked up shit, think about that, kid i'm thinking what this bitch thinking when she take me to court i pay my child support, what the fuck she want?"" this relationship shit is too much for me i wanna fuck, be friends and live comfortably she wanna shine and blow mines on shopping spree's she should have what she want, just not from me i'm thinking 'bout my future, she brought up my past she don't care about me, she just want some cash i'm thinking damn, girl, we used to be friends how did shit become all about ends? do you think about me? (do you think about me?) i know you think about me you got to remember all the good times we had just a little bit, just a little bit just a little bit, just a little bit just a little bit, just a little bit just a little bit (do you think about me?) i remember when you told me (i know you think about me) that i'll always be special to you, darling you were so special to me, do you think about me?",rap,gangster rap,50 Cent,206893,en,1/1/2009,0.591,0.00715,0.822,0.147,-4.0,0.26,94.159,1,8,0.27
One Woman Man,"alright, (hmm) it's so funny runnin' into you it has to be three years since we last seen each other many flashbacks come to mind of the wild and crazy times we used to have with one another we absolutely didn't care we would do it anywhere eye contact, and it was over, hmm but that's when i was wild, and now i couldn't care less about someone gettin' hurt i've done my share of dirt but i done wised up chorus - seein' you reminds me of all the nights i used to beat it up i would do it again, but i can't cuz everything is different now i finally have settled down and became a one woman man ooh there were many others after you quite a few one night stands some of their names i can't remember imagine wakin' up with someone who you barely even knew time and time again but there's someone for everyone i've been blessed to find that one who makes me feel like no other you are lookin' good as hell but i can't go home with you because i'm goin' home to her chorus long gone, are the days when i ran the streets tryin' to get laid ooh, and now (see now that i found the love of my life) (i don't have to trick no more) girl, it was nice seein' you but i gotta go home to my baby boo chorus to fade",r&b,new jack swing,Dave Hollister,272053,en,1/1/2006,0.627,0.0457,0.647,0.0655,-6.818,0.0294,91.015,1,11,0.521
No More,"once again we hear them calling for war it doesn't matter what they're fighting for they light the match and watch the whole world burst into flame the story's always the same so tell me, people, are you ready to kill? behold the propaganda, get your fill a distant enemy is threatening our freedom again how much would you like to spend? millions are falling in line and it's just a matter of time endless destruction will ensure their pockets are lined for all time no more defending the lies behind the never-ending war it's time to make them realize we will no longer be their whore no more, no more no more, no more no more, no more they don't care about the blood on their hands look at the world, and you will understand they count the money as the innocent continue to bleed they're always planting the seed so tell me, people, are you ready to die without believing in the reason why? they paint a picture, and the whole damn world is deceived it's all that they ever need millions keep falling in line it's only a matter of time sowing destruction will make sure their pockets are lined for all time no more defending the lies behind the never-ending war it's time to make them realize we will no longer be their whore no more defending the lies behind the never-ending war it's time to make them realize we will no longer be their whore no, it can't be disguised anymore how they smile as we pay for their war no more defending the lies behind the never-ending war it's time to make them realize we will no longer be their whore no more defending the lies behind the never-ending war it's time to make them realize we will no longer be their whore no more, no more no more, no more no more, no more",rock,hard rock,Disturbed,232640,en,10/18/2018,0.53,0.000285,0.988,0.222,-2.406,0.121,101.28,1,7,0.521
Lullaby - Calvo Remix,"will you lay me down? make our hearts the only sound throw my fears all to the ground will you hold me? will you serenade me with the song you used to play? 'til the night turns into day will you hold me? 'cause all i need is somebody near me when my heart gets weak somebody out there watching over me when i'm so tired, i can't even sleep won't you sing me your sweet lullaby? just the sound of your voice is the thing that i need won't you sing me your sweet lullaby? i could fall for the sound of your sweet melody 'cause i just need your song something to sing along when i'm not feeling strong, i need you to sing me your sweet lullaby need the sound of your sweet melody so sing to me so sing to me need the sound of your sweet melody so sing to me i'll be there when you're down 'cause forever, i am bound for my love, i shout it out let me hold you no journey is too far for the one who healed my scars you're my saviour, you're my star let me hold you 'cause all i need is somebody near me when my heart gets weak somebody out there watching over me when i'm so tired, i can't even sleep won't you sing me your sweet lullaby? just the sound of your voice is the thing that i need won't you sing me your sweet lullaby? i could fall for the sound of your sweet melody so sing to me when i'm not sleeping, you're all i need and when my heart stops beating, just sing to me when i'm not sleeping, you're all i need and when my heart stops beating, just sing to me when i'm not sleeping, you're all i need and just sing to, sing to me can't you please sing to me? won't you sing me your sweet lullaby? just the sound of your voice is the thing that i need won't you sing me your sweet lullaby? i could fall for the sound of your sweet melody 'cause i just need your song something to sing along when i'm not feeling strong, i need you to sing me your sweet lullaby need the sound of your sweet melody so sing to me",edm,electro house,Sigala,188333,en,5/18/2018,0.629,0.00232,0.884,0.359,-4.984,0.0431,125.961,0,5,0.455
You Make My Dreams - Remastered,"what i want, you've got but it might be hard to handle like the flame that burns the candle the candle feeds the flame yeah yeah what i got -- full stock of thoughts and dreams that scatter and you pull them all together and how? i can't explain, oh yeah well well you (ooh ooh ooh ooh) you make my dreams come true (you you) you (you you) well well well you (ooh ooh ooh ooh) oh yeah you make my dreams come true (ooh oooh ooh ooh) hell yeah on a night when bad dreams become a screamer when they're messin' with a dreamer i can laugh it in the face twist and shout my way out and wrap yourself around me cause i ain't the way you found me and i'll never be the same oh yeah well cause you (ooh ooh ooh ooh) hmmm hmm you make my dreams come true (you you you you) oh yeah well well well you (ooh ooh ooh ooh) ooh you make my dreams come true (you you you you) oh yeah well listen to this ow! i'm down on my daydream all that sleepwalk should be over by now i know well you hell yeah you make my dreams come true (you you you you) oh yeah (you you) i've been waiting for waiting for you girl (ooh ooh ooh ooh) oh yeah you make my dreams come true (you you you you) me you me and you i've been waiting for waiting for you girl (ooh ooh ooh ooh) all my life you make my dreams come true (you you) whoa (you you) whoa whoa i've been waiting for waiting for waiting for waiting for waiting for waiting for waiting for (you make my dreams) ooh ooh ooh ooh i've been waiting for you girl (you you you you) (you make my dream you you you you)",pop,post-teen pop,Daryl Hall & John Oates,187431,en,1/23/2001,0.749,0.13,0.484,0.0501,-9.944,0.0484,167.084,1,5,0.939
United We Are,united we are like all the sun and stars united we are we've come so far united we are you're talking to my heart united we are we've come so far united we are united we are united we are united we are,edm,big room,Hardwell,351749,en,1/9/2015,0.704,0.00425,0.899,0.124,-3.503,0.0876,128.026,0,7,0.155
Love Will Tear Us Apart - 2010 Remaster,"when routine bites hard and ambitions are low and resentment rides high, but emotions won't grow and we're changing our ways, taking different roads then love, love will tear us apart again love, love will tear us apart again why is the bedroom so cold? you've turned away on your side is my timing that flawed? our respect runs so dry yet there's still this appeal that we've kept through our lives but love, love will tear us apart again love, love will tear us apart again na you cry out in your sleep, all my failings exposed and there's a taste in my mouth as desperation takes hold just that something so good, just can't function no more then love, love will tear us apart again love, love will tear us apart again then love, love will tear it apart again love, love will tear it apart again when routine bites hard and ambitions are low and resentment rides high, but emotions won't grow and we're changing our ways, taking different roads then love, love will tear us apart again love, love will tear us apart again why is the bedroom so cold? you've turned away on your side is my timing that flawed? our respect runs so dry yet there's still this appeal that we've kept through our lives but love, love will tear us apart again love, love will tear us apart again na you cry out in your sleep, all my failings exposed and there's a taste in my mouth as desperation takes hold just that something so good, just can't function no more then love, love will tear us apart again love, love will tear us apart again then love, love will tear it apart again love, love will tear it apart again",pop,electropop,Joy Division,204621,en,2010,0.525,0.000989,0.902,0.137,-8.662,0.0368,146.83,1,2,0.907
Again,again this couldn't happen again na,latin,tropical,Wun Two,143133,en,12/19/2014,0.762,0.949,0.525,0.114,-11.863,0.199,82.777,1,6,0.652
Perfect Strangers,"you were looking at me like you wanted to stay when i saw you yesterday i'm not wasting your time, i'm not playing no games i see you who knows the secret tomorrow will hold? we don't really need to know 'cause you're here with me now, i don't want you to go you're here with me now, i don't want you to go maybe we're perfect strangers maybe it's not forever maybe the night will change us maybe we'll stay together maybe we'll walk away maybe we'll realize we're only human maybe we don't need no reason maybe we're perfect strangers maybe it's not forever maybe the night will change us maybe we'll stay together maybe we'll walk away maybe we'll realize we're only human maybe we don't need no reason why come on, come on, come over maybe we don't need no reason why come on, come on, come over no one but you got me feeling this way there's so much we can't explain maybe we're helping each other escape i'm with you who knows the secret tomorrow will hold? we don't really need to know 'cause you're here with me now, i don't want you to go you're here with me now, i don't want you to go maybe we're perfect strangers maybe it's not forever maybe the night will change us maybe we'll stay together maybe we'll walk away maybe we'll realize we're only human maybe we don't need no reason maybe we're perfect strangers maybe it's not forever maybe the night will change us maybe we'll stay together maybe we'll walk away maybe we'll realize we're only human maybe we don't need no reason why come on, come on, come over maybe we don't need no reason why come on, come on, come over maybe we're perfect strangers come on, come on, come over maybe we don't need no reason why come on, come on, come over you were looking at me like you wanted to stay when i saw you yesterday i'm not wasting your time, i'm not playing no games i see you who knows the secret tomorrow will hold? we don't really need to know 'cause you're here with me now, i don't want you to go you're here with me now, i don't want you to go maybe we're perfect strangers maybe it's not forever maybe the night will change us maybe we'll stay together maybe we'll walk away maybe we'll realize we're only human maybe we don't need no reason maybe we're perfect strangers maybe it's not forever maybe the night will change us maybe we'll stay together maybe we'll walk away maybe we'll realize we're only human maybe we don't need no reason why come on, come on, come over maybe we don't need no reason why come on, come on, come over no one but you got me feeling this way there's so much we can't explain maybe we're helping each other escape i'm with you who knows the secret tomorrow will hold? we don't really need to know 'cause you're here with me now, i don't want you to go you're here with me now, i don't want you to go maybe we're perfect strangers maybe it's not forever maybe the night will change us maybe we'll stay together maybe we'll walk away maybe we'll realize we're only human maybe we don't need no reason maybe we're perfect strangers maybe it's not forever maybe the night will change us maybe we'll stay together maybe we'll walk away maybe we'll realize we're only human maybe we don't need no reason why come on, come on, come over maybe we don't need no reason why come on, come on, come over maybe we're perfect strangers come on, come on, come over maybe we don't need no reason why come on, come on, come over",pop,indie poptimism,Jonas Blue,196613,en,6/3/2016,0.742,0.372,0.819,0.277,-5.307,0.0487,117.986,1,1,0.709
Applause,"i stand here waiting for you to bang the gong to crash the critic saying, “is it right or is it wrong?”if only fame had an iv baby, could i bear being away from you i found the vein, put it in here i live for the applause, applause, applause i live for the applause-plause, live for the applause-plause live for the way that you cheer and scream for me the applause, applause, applause give me that thing that i love (i'll turn the lights out) put your hands up, make 'em touch (make it real loud) give me that thing that i love (i'll turn the lights out) put your hands up, make 'em touch (make it real loud) a-p-p-l-a-u-s-e (make it real loud) put your hands up, make 'em touch, touch a-p-p-l-a-u-s-e (make it real loud) put your hands up, make 'em touch, touch i've overheard your theory “nostalgia's for geeks” i guess sir if you say so some of us just like to read one second i'm a koons, then suddenly the koons is me pop culture was in art, now art's in pop culture, in me i live for the applause, applause, applause i live for the applause-plause, live for the applause-plause live for the way that you cheer and scream for me the applause, applause, applause give me that thing that i love (i'll turn the lights out) put your hands up, make 'em touch (make it real loud) give me that thing that i love (i'll turn the lights out) put your hands up, make 'em touch (make it real loud) a-p-p-l-a-u-s-e (make it real loud) put your hands up, make 'em touch, touch a-p-p-l-a-u-s-e (make it real loud) put your hands up, make 'em touch, touch woo... touch, touch woo... touch, touch, now... woo-oh-oh-oh... i live for the applause, applause, applause i live for the applause-plause, live for the applause-plause live for the way that you cheer and scream for me the applause, applause, applause give me that thing that i love (i'll turn the lights out) put your hands up, make 'em touch (make it real loud) give me that thing that i love (i'll turn the lights out) put your hands up, make 'em touch (make it real loud) a-p-p-l-a-u-s-e (make it real loud) put your hands up, make 'em touch, touch a-p-p-l-a-u-s-e (make it real loud) put your hands up, make 'em touch, touch a-r-t-p-o-p",pop,post-teen pop,Lady Gaga,212333,en,11/11/2013,0.669,0.0265,0.78,0.143,-4.287,0.053,139.945,0,7,0.738
Turnin' Me Up,"na let me get the track just to make sure uh uh uh uh uh uh yeah uh uh uh uh uh uh turn me up a little more uh uh uh uh uh uh uh yeah uh uh uh uh uh baby keep on turnin' me up (turnin' me up, turnin' me up) yeah ah baby keep on turnin' me up (turnin' me up, turnin' me up) yeah yeah yeah it's just the little, bitty things you do that keeps on turnin' me up (turnin' me up, turnin' me up) yeah yeah yeah keep doing that thang you're doing to me uh uh huh that sweet lil thang you're doing to me, babe yeah yeah yeah (yeah yeah yeah yeah ah) it's just the little, bitty things you do, that keeps on turnin' me up (turnin' me up, turnin' me up) yeah yeah sometimes it makes me wanna say woooo (don't stop, don't quit, soul shit x4) baby keep on turnin' me on yeah yeah (turnin' me on, turnin' me on) baby keep on turnin' me on oh-oh (turnin' me on, turnin' me on) it's just the little, little, bitty little things you do, that just keeps on turnin' me on music take me away, music take me away music take me away, music take me away music take me away, music take me away one shot, two shots, three shots, four shots five shots, six shots one shot, two shots, three shots, four shots five shots, six shots don't stop, don't quit, some soul shit don't stop, won't quit, soul shit (layered) na",r&b,neo soul,BJ The Chicago Kid,269173,en,2/19/2016,0.734,0.0406,0.776,0.0547,-4.193,0.0826,78.542,1,2,0.843
Faded - Dash Berlin Remix,"you were the shadow to my light did you feel us? another star, you fade away afraid our aim is out of sight wanna see us alight where are you now? where are you now? where are you now? was it all in my fantasy? where are you now? were you only imaginary? where are you now? atlantis, under the sea, under the sea where are you now? another dream the monster's running wild inside of me i'm faded, i'm faded so lost, i'm faded, i'm faded so lost, i'm faded these shallow waters never met what i needed i'm letting go, a deeper dive eternal silence of the sea i'm breathing, alive where are you now? where are you now? under the bright but faded lights you set my heart on fire where are you now? where are you now? where are you now? atlantis, under the sea, under the sea where are you now? another dream the monster's running wild inside of me i'm faded, i'm faded so lost, i'm faded, i'm faded so lost, i'm faded you were the shadow to my light did you feel us? another star, you fade away afraid our aim is out of sight wanna see us alight where are you now? where are you now? where are you now? was it all in my fantasy? where are you now? were you only imaginary? where are you now? atlantis, under the sea, under the sea where are you now? another dream the monster's running wild inside of me i'm faded, i'm faded so lost, i'm faded, i'm faded so lost, i'm faded these shallow waters never met what i needed i'm letting go, a deeper dive eternal silence of the sea i'm breathing, alive where are you now? where are you now? under the bright but faded lights you set my heart on fire where are you now? where are you now? where are you now? atlantis, under the sea, under the sea where are you now? another dream the monster's running wild inside of me i'm faded, i'm faded so lost, i'm faded, i'm faded so lost, i'm faded you were the shadow to my light did you feel us? another star, you fade away afraid our aim is out of sight wanna see us alight where are you now? where are you now? where are you now? was it all in my fantasy? where are you now? were you only imaginary? where are you now? atlantis, under the sea, under the sea where are you now? another dream the monster's running wild inside of me i'm faded, i'm faded so lost, i'm faded, i'm faded so lost, i'm faded these shallow waters never met what i needed i'm letting go, a deeper dive eternal silence of the sea i'm breathing, alive where are you now? where are you now? under the bright but faded lights you set my heart on fire where are you now? where are you now? where are you now? atlantis, under the sea, under the sea where are you now? another dream the monster's running wild inside of me i'm faded, i'm faded so lost, i'm faded, i'm faded so lost, i'm faded",pop,electropop,Alan Walker,215307,en,4/29/2016,0.389,0.000752,0.915,0.122,-3.261,0.0456,127.984,1,6,0.0943
TRUE - Single Edit,"huh huh huh hu-uh huh huh huh huh hu-uh huh so true funny how it seems always in time, but never in line for dreams head over heels when toe to toe this is the sound of my soul this is the sound i bought a ticket to the world but now i've come back again why do i find it hard to write the next line oh i want the truth to be said huh huh huh hu-uh huh i know this much is true huh huh huh hu-uh huh i know this much is true with a thrill in my head and a pill on my tongue dissolve the nerves that have just begun listening to marvin (all night long) this is the sound of my soul this is the sound always slipping from my hands sand's a time of its own take your seaside arms and write the next line oh i want the truth to be known huh huh huh hu-uh huh i know this much is true huh huh huh hu-uh huh i know this much is true na i bought a ticket to the world but now i've come back again why do i find it hard to write the next line oh i want the truth to be said huh huh huh hu-uh huh i know this much is true huh huh huh hu-uh huh i know this much is true this much is true this much is true this much is true this much is true this much is true this much is true this much is true huh huh huh hu-uh huh know this much is true huh huh huh hu-uh huh know this much is true this much is true this much is true i know, i know, i know this much is true this much is true this much is true this much is true (huh huh huh hu-uh huh) this much is true i know this much is true this much is true (huh huh huh hu-uh huh) this much is true know this much is true this much is true (huh huh huh hu-uh huh) this much is true know this much is true i know, i know, i know this much is true this much is true (huh huh huh hu-uh huh) this much is true i know this much is true huh huh huh hu-uh huh huh huh huh hu-uh huh so true funny how it seems always in time, but never in line for dreams head over heels when toe to toe this is the sound of my soul this is the sound i bought a ticket to the world but now i've come back again why do i find it hard to write the next line oh i want the truth to be said huh huh huh hu-uh huh i know this much is true huh huh huh hu-uh huh i know this much is true with a thrill in my head and a pill on my tongue dissolve the nerves that have just begun listening to marvin (all night long) this is the sound of my soul this is the sound always slipping from my hands sand's a time of its own take your seaside arms and write the next line oh i want the truth to be known huh huh huh hu-uh huh i know this much is true huh huh huh hu-uh huh i know this much is true na i bought a ticket to the world but now i've come back again why do i find it hard to write the next line oh i want the truth to be said huh huh huh hu-uh huh i know this much is true huh huh huh hu-uh huh i know this much is true this much is true this much is true this much is true this much is true this much is true this much is true this much is true huh huh huh hu-uh huh know this much is true huh huh huh hu-uh huh know this much is true this much is true this much is true i know, i know, i know this much is true this much is true this much is true this much is true (huh huh huh hu-uh huh) this much is true i know this much is true this much is true (huh huh huh hu-uh huh) this much is true know this much is true this much is true (huh huh huh hu-uh huh) this much is true know this much is true i know, i know, i know this much is true this much is true (huh huh huh hu-uh huh) this much is true i know this much is true",pop,electropop,Spandau Ballet,328293,en,4/25/2008,0.744,0.506,0.545,0.0649,-9.361,0.0297,97.409,1,0,0.346
Heroes (we could be),"we could hide away in daylight we go undercover, wait out the sun got a secret side in plain sight where the streets are empty, that's where we run everyday people do everyday things but i can't be one of them i know you hear me now, we are a different kind we can do anything we could be heroes we could be heroes, me and you we could be heroes we could be heroes, me and you we could be anybody's got the power they don't see it ‘cause they don't understand spin around and round for hours you and me, we got the world in our hands everyday people do everyday things but i can't be one of them i know you hear me now, we are a different kind we can do anything we could be heroes we could be heroes, me and you we could be heroes we could be heroes, me and you we could be we could be heroes we could be heroes me and you... we could be all we're looking for is love and a little light love and a little light (we could be) all we're looking for is love and a little light love and a little light we could be heroes we could be heroes me and you... we could be we could hide away in daylight we go undercover, wait out the sun got a secret side in plain sight where the streets are empty, that's where we run everyday people do everyday things but i can't be one of them i know you hear me now, we are a different kind we can do anything we could be heroes we could be heroes, me and you we could be heroes we could be heroes, me and you we could be anybody's got the power they don't see it ‘cause they don't understand spin around and round for hours you and me, we got the world in our hands everyday people do everyday things but i can't be one of them i know you hear me now, we are a different kind we can do anything we could be heroes we could be heroes, me and you we could be heroes we could be heroes, me and you we could be we could be heroes we could be heroes me and you... we could be all we're looking for is love and a little light love and a little light (we could be) all we're looking for is love and a little light love and a little light we could be heroes we could be heroes me and you... we could be we could hide away in daylight we go undercover, wait out the sun got a secret side in plain sight where the streets are empty, that's where we run everyday people do everyday things but i can't be one of them i know you hear me now, we are a different kind we can do anything we could be heroes we could be heroes, me and you we could be heroes we could be heroes, me and you we could be anybody's got the power they don't see it ‘cause they don't understand spin around and round for hours you and me, we got the world in our hands everyday people do everyday things but i can't be one of them i know you hear me now, we are a different kind we can do anything we could be heroes we could be heroes, me and you we could be heroes we could be heroes, me and you we could be we could be heroes we could be heroes me and you... we could be all we're looking for is love and a little light love and a little light (we could be) all we're looking for is love and a little light love and a little light we could be heroes we could be heroes me and you... we could be",pop,dance pop,Alesso,210013,en,5/26/2015,0.503,0.0305,0.748,0.343,-4.124,0.0619,125.896,1,5,0.356
Picture Perfect,"she had the '59 out daddy let her drive it about she honked the horn and thought ""c'mon now, don't make me shout."" they took a spin around town he felt the tears come back he missed her so much when he was gone and he'll never leave again no, he'll never leave again 'cause the best friends that a boy could have weren't the best enough and her picture perfect world couldn't keep her happy and that's when they fell in love not at first, but when push really came to shove and her picture perfect world couldn't keep her happy her picture perfect world couldn't keep her happy no more they took a walk to the docks removed their shoes and socks they felt the breeze roll in and took a seat on the rocks he said, ""i miss you so much"" she said, ""i miss you too""... ""we were so stupid for being apart what the fuck did we do? what the fuck did we do?"" 'cause the best friends that a boy could have weren't the best enough and her picture perfect world couldn't keep her happy and that's when they fell in love not at first, but when push really came to shove and her picture perfect world couldn't keep her happy 'cause the best friends that a boy could have weren't the best enough and her picture perfect world couldn't keep her happy and that's when they fell in love push really came to shove he never knew but sadly it's true her picture perfect world couldn't keep her happy no more",pop,post-teen pop,Man Overboard,184107,en,9/26/2011,0.485,0.000335,0.808,0.135,-4.559,0.0592,136.062,1,6,0.475
Shoot Shoot - 2007 Remastered Version,"was a fast tough woman, loved to play the clown you won't do nothin' about it break a good boy's resistance down know she's got a pistol laid it down on me she said shoot shoot, shoot it boy you gotta shoot it for me trust me like she was worth it never knew i was her kill and two forty five's would do the trick and pay the bills know she's got a pistol laid it down on me and she said shoot shoot, shoot it boy you gotta shoot it for me i've really got to get a fast ride out of here gotta get a fast ride out of here gotta get a fast ride out of here gotta get a fast ride out of here holdin' out in my hotel room police they finally come had her as the prosecution and my prints upon the gun know she's got a pistol laid it down on me and she said shoot shoot, shoot it boy shoot it for me i've really got to get a fast ride out of here gotta get a fast ride out of here gotta get a fast ride out of here gotta get a fast ride out of here now",rock,hard rock,UFO,219893,en,2/21/2014,0.475,3.78e-05,0.912,0.0806,-7.023,0.058,137.805,1,2,0.592
Back In Black,"back in black, i hit the sack i've been too long, i'm glad to be back yes, i'm let loose from the noose that's kept me hanging about i'm just looking at the sky 'cause it's getting me high forget the hearse, 'cause i'll never die i got nine lives, cat's eyes abusing every one of them and running wild 'cause i'm back, yes i'm back well, i'm back, yes i'm back well, i'm back, back well, i'm back in black yes, i'm back in black back in the back of a cadillac number one with a bullet, i'm a power pack yes, i'm in a bang with a gang they've got to catch me if they want me to hang'cause i'm back on the track and i'm beatin' the flack nobody's gonna get me on another rap so, look at me now, i'm just making my play don't try to push your luck, just get out of my way 'cause i'm back, yes i'm back well, i'm back, yes i'm back well, i'm back, back well, i'm back in black yes, i'm back in black well, i'm back, yes i'm back well, i'm back, yes i'm back well, i'm back, back well, i'm back in black yes, i'm back in black, yow ah, yeah oh, yeah take my love yeah, yeah yeah ah, hey yeah ooh, yeah well, i'm back (i'm back) back, well i'm (i'm back) back (i'm back) back (i'm back) back (i'm back) back back in black yes, i'm back in black i've hit the sack back in black, i hit the sack i've been too long, i'm glad to be back yes, i'm let loose from the noose that's kept me hanging about i'm just looking at the sky 'cause it's getting me high forget the hearse, 'cause i'll never die i got nine lives, cat's eyes abusing every one of them and running wild 'cause i'm back, yes i'm back well, i'm back, yes i'm back well, i'm back, back well, i'm back in black yes, i'm back in black back in the back of a cadillac number one with a bullet, i'm a power pack yes, i'm in a bang with a gang they've got to catch me if they want me to hang'cause i'm back on the track and i'm beatin' the flack nobody's gonna get me on another rap so, look at me now, i'm just making my play don't try to push your luck, just get out of my way 'cause i'm back, yes i'm back well, i'm back, yes i'm back well, i'm back, back well, i'm back in black yes, i'm back in black well, i'm back, yes i'm back well, i'm back, yes i'm back well, i'm back, back well, i'm back in black yes, i'm back in black, yow ah, yeah oh, yeah take my love yeah, yeah yeah ah, hey yeah ooh, yeah well, i'm back (i'm back) back, well i'm (i'm back) back (i'm back) back (i'm back) back (i'm back) back back in black yes, i'm back in black i've hit the sack back in black, i hit the sack i've been too long, i'm glad to be back yes, i'm let loose from the noose that's kept me hanging about i'm just looking at the sky 'cause it's getting me high forget the hearse, 'cause i'll never die i got nine lives, cat's eyes abusing every one of them and running wild 'cause i'm back, yes i'm back well, i'm back, yes i'm back well, i'm back, back well, i'm back in black yes, i'm back in black back in the back of a cadillac number one with a bullet, i'm a power pack yes, i'm in a bang with a gang they've got to catch me if they want me to hang'cause i'm back on the track and i'm beatin' the flack nobody's gonna get me on another rap so, look at me now, i'm just making my play don't try to push your luck, just get out of my way 'cause i'm back, yes i'm back well, i'm back, yes i'm back well, i'm back, back well, i'm back in black yes, i'm back in black well, i'm back, yes i'm back well, i'm back, yes i'm back well, i'm back, back well, i'm back in black yes, i'm back in black, yow ah, yeah oh, yeah take my love yeah, yeah yeah ah, hey yeah ooh, yeah well, i'm back (i'm back) back, well i'm (i'm back) back (i'm back) back (i'm back) back (i'm back) back back in black yes, i'm back in black i've hit the sack back in black, i hit the sack i've been too long, i'm glad to be back yes, i'm let loose from the noose that's kept me hanging about i'm just looking at the sky 'cause it's getting me high forget the hearse, 'cause i'll never die i got nine lives, cat's eyes abusing every one of them and running wild 'cause i'm back, yes i'm back well, i'm back, yes i'm back well, i'm back, back well, i'm back in black yes, i'm back in black back in the back of a cadillac number one with a bullet, i'm a power pack yes, i'm in a bang with a gang they've got to catch me if they want me to hang'cause i'm back on the track and i'm beatin' the flack nobody's gonna get me on another rap so, look at me now, i'm just making my play don't try to push your luck, just get out of my way 'cause i'm back, yes i'm back well, i'm back, yes i'm back well, i'm back, back well, i'm back in black yes, i'm back in black well, i'm back, yes i'm back well, i'm back, yes i'm back well, i'm back, back well, i'm back in black yes, i'm back in black, yow ah, yeah oh, yeah take my love yeah, yeah yeah ah, hey yeah ooh, yeah well, i'm back (i'm back) back, well i'm (i'm back) back (i'm back) back (i'm back) back (i'm back) back back in black yes, i'm back in black i've hit the sack",pop,post-teen pop,AC/DC,255493,en,7/25/1980,0.31,0.011,0.7,0.0828,-5.678,0.047,188.386,1,9,0.763
